번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1546008,성옥 복어 아구 해물찜 전문점,영업/정상,경기도 성남시 수정구 태평동 6419-2 1층,211549.234611979,437707.088019619,한식
1546087,원조 목포갈치조림 전문점,영업/정상,경기도 성남시 수정구 태평동 3429-4번지 1층,212066.00331377,437890.478430969,한식
1546109,김밥천국,영업/정상,경기도 성남시 수정구 태평동 6425번지 1층,211564.79331064,437662.45245393,김밥(도시락)
1546136,두원 전통 육개장,영업/정상,경기도 성남시 수정구 태평동 6940번지,211077.89524543,437591.813307031,한식
1546191,하우스홀드,영업/정상,경기도 성남시 수정구 태평동 2605,212246.7822521,438400.894123807,패스트푸드
1546211,황소,영업/정상,경기도 성남시 수정구 태평동 6424번지,211561.164320557,437674.986311053,식육(숯불구이)
1546219,유림각,영업/정상,경기도 성남시 수정구 태평동 3482-2 1층 일부,211963.550583805,437869.878022088,중국식
1546249,마포갈비,영업/정상,경기도 성남시 수정구 태평동 7294 1층,212463.332005932,438451.055851927,한식
1546255,동신선참치,영업/정상,경기도 성남시 수정구 태평동 3408번지 지층,212192.187051487,437904.910363229,일식
1546317,짜장짱,영업/정상,경기도 성남시 수정구 태평동 6434,211528.003744907,437703.714039996,한식
1546342,오크양념통닭,영업/정상,경기도 성남시 수정구 태평동 7335-8번지 1층,212360.017053728,438043.846669695,통닭(치킨)
1546463,플로렌스파티하우스 성남가천대점,영업/정상,"경기도 성남시 수정구 태평동 5191 2층, 3층",211186.603141883,438211.042849855,한식
1546522,스탄불바베큐,영업/정상,경기도 성남시 수정구 태평동 2353번지 외 1필지,212337.916130676,438557.644448445,호프/통닭
1546573,옛날순대국,영업/정상,경기도 성남시 수정구 태평동 4025-5번지,211647.021880528,438180.512067912,한식
1546670,광아구찜탕,영업/정상,경기도 성남시 수정구 태평동 6428번지 1층,211537.806509729,437664.393939429,한식
1546700,신흥각,영업/정상,경기도 성남시 수정구 태평동 2507번지,212289.675750688,438415.319046181,중국식
1546759,올레길,영업/정상,경기도 성남시 수정구 태평동 3305-3번지 1층,212102.10811432,438119.070121204,기타
1546781,대가,영업/정상,경기도 성남시 수정구 태평동 3436-1 1층,212068.451868371,437908.972571961,한식
1546828,오가네칼국수,영업/정상,경기도 성남시 수정구 태평동 6344번지,211503.248678209,437721.58904673,기타
