번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1440109,강남촌,영업/정상,강원도 강릉시 노암동 593-17,367038.369947037,472836.049947834,식육(숯불구이)
1440110,한잔상회,영업/정상,강원도 강릉시 입암동 708-5,369052.446100097,474711.797087722,호프/통닭
1440111,강릉아산죽스넥,영업/정상,강원도 강릉시 사천면 방동리 415번지,363580.205089049,481138.750877628,한식
1440112,강릉아산중식당,영업/정상,강원도 강릉시 사천면 방동리 415번지,363580.205089049,481138.750877628,중국식
1440113,칙스,영업/정상,강원도 원주시 흥업면 매지리 1927-1번지,280746.464171322,420137.292706337,호프/통닭
1440114,비어락,영업/정상,강원도 원주시 문막읍 동화리 1542-2번지,273457.349541396,425022.506028565,호프/통닭
1440115,짝패,영업/정상,강원도 강릉시 주문진읍 주문리 370-3번지,360859.11773703,489607.18271131,한식
1440116,통수네,영업/정상,강원도 강릉시 연곡면 영진리 12번지 연곡부영사랑으로2단지아파트 상가,361995.069897465,486822.07636889,식육(숯불구이)
1440117,사랑채,영업/정상,강원도 춘천시 석사동 747-5번지 (1층),266077.86348555,484973.353718509,한식
1440118,맥시칸양념통닭(퇴계점),영업/정상,강원도 춘천시 퇴계동 907-1번지,263901.818004592,484399.063470538,통닭(치킨)
1440119,낙지의전설,영업/정상,강원도 춘천시 퇴계동 499,264333.083979104,483002.405040876,한식
1440120,원이네닭매운탕,영업/정상,강원도 춘천시 석사동 733-1,266207.93232052,485073.194252805,한식
1440121,잭슨빌,영업/정상,강원도 춘천시 조양동 50-6,263967.666628209,486568.409769914,호프/통닭
1440122,믹스테이블라운지(MIX TABLE LOUNGE),영업/정상,강원도 춘천시 석사동 913-6 (1층),265947.388693413,483238.553368563,경양식
