번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1377078,해오반함덕점,영업/정상,제주특별자치도 제주시 조천읍 함덕리 1004-17,169057.138419146,5160.95306892512,한식
1377283,공회당,영업/정상,제주특별자치도 제주시 구좌읍 종달리 907,190614.983560444,-332.345231831938,감성주점
1377284,보롬창고,영업/정상,제주특별자치도 제주시 구좌읍 종달리 480-3,191643.554456846,158.000323614893,감성주점
1377285,챠오루,영업/정상,제주특별자치도 제주시 애월읍 하귀1리 237-2,145408.769941165,-1429.20834748942,중국식
1377520,폰드메르바,영업/정상,제주특별자치도 서귀포시 색달동 3039-1,144526.980069587,-27679.2210345386,한식
1377521,바르,영업/정상,제주특별자치도 서귀포시 색달동 3039-1,144526.980069587,-27679.2210345386,한식
1377637,한울이네,영업/정상,제주특별자치도 서귀포시 남원읍 남원리 163-1,173767.994267462,-23626.273716405,한식
1377638,은담,영업/정상,제주특별자치도 서귀포시 안덕면 감산리 95-1,140027.774538098,-26065.2463026982,패밀리레스트랑
1377954,글라고찌,영업/정상,제주특별자치도 제주시 한림읍 대림리 1893-6,131554.753802493,-8300.50035978721,정종/대포집/소주방
1377955,달빛회포차,영업/정상,제주특별자치도 제주시 오라이동 1479,154569.105561806,-801.770124024798,횟집
1377956,저스트드링크,영업/정상,제주특별자치도 제주시 한림읍 협재리 1721-1,129483.922559041,-10890.5866342722,호프/통닭
1377957,저드,영업/정상,제주특별자치도 제주시 한림읍 협재리 1721-1,129483.922559041,-10890.5866342722,기타
1377958,라곰,영업/정상,제주특별자치도 제주시 화북일동 1084-7,160098.596049431,2135.49172048856,기타
1377959,산지해장국세화점,영업/정상,제주특별자치도 제주시 구좌읍 평대리 3349-6 가온누리,186421.068203012,3377.16555820562,한식
1377960,채정하,영업/정상,제주특별자치도 제주시 구좌읍 평대리 128-1,186118.447482145,3045.44018775021,한식
1378016,제주노형3길보쌈족발이야기,영업/정상,제주특별자치도 제주시 노형동 3805-5,151059.14533118,-1483.21147408201,한식
1378017,호텔수영장스낵바,영업/정상,제주특별자치도 제주시 조천읍 교래리 385-1,169453.276643754,-5298.62834040187,분식
1378018,호텔갤러리카페,영업/정상,제주특별자치도 제주시 조천읍 교래리 385-1,169453.276643754,-5298.62834040187,한식
1378048,다섯번째이야기,영업/정상,제주특별자치도 제주시 영평동 2676-1,158310.605176776,-683.243824773532,한식
1378049,아라동산,영업/정상,제주특별자치도 제주시 봉개동 1914,162199.338811102,-751.400120683486,한식
1378050,팔도만찬밀키트노형점,영업/정상,제주특별자치도 제주시 노형동 2574-2,150945.478419178,-479.107561890258,한식
1378051,도주제,영업/정상,제주특별자치도 제주시 삼도이동 1036-2,155437.229528854,2046.42673959218,한식
1378052,디사이드온,영업/정상,제주특별자치도 제주시 구좌읍 종달리 565-55,191402.400521003,-3.45841894146516,기타
1378129,호텔레스토랑,영업/정상,제주특별자치도 제주시 조천읍 교래리 385-1,169453.276643754,-5298.62834040187,한식
1378130,어박사함덕점,영업/정상,제주특별자치도 제주시 조천읍 함덕리 225-3,169535.54716478,5252.10609781145,한식
1378131,진분홍식당,영업/정상,제주특별자치도 제주시 한림읍 금능리 1351-2,128239.628820337,-11744.0328176252,한식
1378132,모란카페,영업/정상,제주특별자치도 제주시 이도일동 1789-5,156075.771420966,698.303773256743,기타
