번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1633044,잔치국수&충무김밥,영업/정상,경기도 성남시 수정구 복정동 660-16 1층 일부호,211204.128272624,440148.217866665,한식
1633178,이번지 깡통집,영업/정상,경기도 성남시 수정구 복정동 685-11 지산빌딩 1층 일부호,211128.185505916,439558.517945429,한식
1633179,직화에빠지다,영업/정상,경기도 성남시 수정구 복정동 685-11 1층일부,211128.185505916,439558.517945429,"외국음식전문점(인도,태국등)"
1633971,루나펍(Luna Pub),영업/정상,경기도 성남시 수정구 복정동 714-3 1층,211194.127601926,439041.186100491,기타
1634797,뚱이네,영업/정상,경기도 성남시 수정구 복정동 639-1 1(일부)층,211200.826485252,440588.561272602,한식
1634982,백채김치찌개 복정점,영업/정상,경기도 성남시 수정구 복정동 678-5번지 외 1필지 1층 일부,211165.534668753,439861.150528482,한식
1635004,막창도둑 성남복정점,영업/정상,경기도 성남시 수정구 복정동 685-10,211126.193698585,439574.209639685,기타
1635122,국수미가,영업/정상,경기도 성남시 수정구 복정동 678-5번지 1(일부)층,211165.534668753,439861.150528482,기타
1635169,가츠야,영업/정상,경기도 성남시 수정구 복정동 646-1번지 1층,211212.408626552,440347.995787843,기타
1657044,수셰프푸드,영업/정상,경기도 성남시 수정구 복정동 695-2 1층 일부,211228.910439248,439345.442160808,한식
1657218,카페(kafe),영업/정상,"경기도 성남시 수정구 복정동 660-8 1층 104호 일부, 105호",211178.245318489,440043.711951712,경양식
1662406,오늘식당 일호,영업/정상,경기도 성남시 수정구 복정동 677-5 2층,211125.890166097,439798.349235842,경양식
1677174,비비큐 복정점,영업/정상,경기도 성남시 수정구 복정동 692-14 1층(일부)102호,211227.460742758,439381.589582871,호프/통닭
1705480,참진짜장,영업/정상,경기도 성남시 수정구 복정동 689-1 (1층),211140.194155561,439499.513581336,중국식
1705595,친친,영업/정상,경기도 성남시 수정구 복정동 692-15 1층,211210.415518226,439380.761922418,호프/통닭
1705629,민속식당,영업/정상,경기도 성남시 수정구 복정동 696-2번지 1층,211216.759506837,439264.644179945,한식
1709077,바다생고기,영업/정상,경기도 성남시 수정구 복정동 686-7 1층,211158.945808213,439589.526315629,호프/통닭
1709432,토마루,영업/정상,경기도 성남시 수정구 복정동 689-7 1층,211162.283100896,439419.364424785,기타
1709438,맘스터치(동서울대점),영업/정상,경기도 성남시 수정구 복정동 678-7 102.103호,211163.788990878,439834.028282377,통닭(치킨)
1711304,부자 뿅의 전설(복정동),영업/정상,경기도 성남시 수정구 복정동 663-7 1층,211142.32358808,440037.428894651,중국식
1712116,서정가야밀면,영업/정상,경기도 성남시 수정구 복정동 692 (102호),211203.420911757,439400.174777339,기타
1712689,만나고쪽갈비,영업/정상,경기도 성남시 수정구 복정동 690-1번지 1층,211171.018963646,439521.433114142,식육(숯불구이)
1713544,아토,영업/정상,경기도 성남시 수정구 복정동 711-3번지 1층,211188.829100341,439135.726430311,일식
1713873,피자스쿨 복정점,영업/정상,경기도 성남시 수정구 복정동 689-7 1층,211162.283100896,439419.364424785,패스트푸드
1713976,뽐므드킴,영업/정상,경기도 성남시 수정구 복정동 663-10번지 1층,211139.54216917,440000.750128741,까페
1714231,식회사 동서울웨드빌,영업/정상,경기도 성남시 수정구 복정동 산 42 국제교류센터,nan,nan,뷔페식
1714751,복정골식당,영업/정상,경기도 성남시 수정구 복정동 631-1번지 1층,211400.410581273,440599.445926001,한식
1716304,황궁짜장,영업/정상,경기도 성남시 수정구 복정동 710-12번지 1층,211225.057767979,439118.143562105,중국식
1716412,도모다찌오코노미야끼,영업/정상,경기도 성남시 수정구 복정동 694-4번지 (1층),211182.695117161,439281.224719974,기타
1716491,부산막고기,영업/정상,경기도 성남시 수정구 복정동 715-13 1층 103호,211237.714171576,439094.314864976,한식
1716897,생태한마리,영업/정상,경기도 성남시 수정구 복정동 663-4 1층,211146.115589753,440092.605643991,한식
1717134,쉐프로제,영업/정상,경기도 성남시 수정구 복정동 668-8 1층,211438.673693695,439950.767949372,한식
1717380,복정고을,영업/정상,경기도 성남시 수정구 복정동 678-3번지 1층,211167.201212346,439885.506309223,한식
1717448,미자네 착한식당,영업/정상,경기도 성남시 수정구 복정동 645-7 1층,211154.381577842,440249.852765387,한식
1717828,글래머커피,영업/정상,경기도 성남시 수정구 복정동 660 1층,211185.622663989,440150.300117382,까페
1718138,반,영업/정상,경기도 성남시 수정구 복정동 685-7번지 4층,211122.06426263,439619.348642045,까페
1718142,카페테리,영업/정상,"경기도 성남시 수정구 복정동 692-15번지 지하1층, 1층",211210.415518226,439380.761922418,기타
1718229,밥은화(火) 복정점,영업/정상,경기도 성남시 수정구 복정동 690-8번지,211198.006863593,439423.579044345,한식
1718719,캠퍼,영업/정상,경기도 성남시 수정구 복정동 674-4번지 1층(일부),211133.604076737,439905.687069471,경양식
1718723,오징어세상,영업/정상,경기도 성남시 수정구 복정동 685-7번지 1층,211122.06426263,439619.348642045,한식
1718808,유정혜 등촌 샤브 칼국수,영업/정상,경기도 성남시 수정구 복정동 685-8번지 1층,211123.197415172,439603.2999622,한식
1719308,마라킹,영업/정상,경기도 성남시 수정구 복정동 678-3 1층,211167.201212346,439885.506309223,중국식
1719818,할매순대국(동서울대점),영업/정상,경기도 성남시 수정구 복정동 678-2번지,211168.234269636,439900.644517429,한식
1720101,복정랍스타,영업/정상,경기도 성남시 수정구 복정동 646-9번지 1층,211210.761865687,440326.931831182,일식
1721154,전24시닭도리탕,영업/정상,경기도 성남시 수정구 복정동 695-3 1층(101호102호),211246.307349235,439347.075822766,한식
1721286,한솥도시락(복정동점),영업/정상,경기도 성남시 수정구 복정동 677-5번지 외1필지 1층 102호,211125.890166097,439798.349235842,김밥(도시락)
1721311,숯불집,영업/정상,경기도 성남시 수정구 복정동 690 1층(일부),211168.504548635,439533.776438509,한식
1721343,솥뚜껑 파전,영업/정상,경기도 성남시 수정구 복정동 689-7번지 외1필지 1층,211162.283100896,439419.364424785,호프/통닭
1721494,257 의정부 부대찌개,영업/정상,경기도 성남시 수정구 복정동 689-5번지 외1필지 (1층),211154.527073984,439447.340497011,식육(숯불구이)
1721525,펀비어킹 복정 동서울대점,영업/정상,경기도 성남시 수정구 복정동 690-2번지 1층,211174.449717227,439507.295909754,통닭(치킨)
